,Name,Score,Description
0,마카오 피셔맨스워프,4.0,"호텔, 카지노, 놀이기구, 상점, 레스토랑이 들어서 있는 항구 앞 엔터테인먼트 단지입니다."
1,타이파 빌리지,4.2,-
2,연애항,3.7,-
3,마카오 박물관,4.3,-
4,세나도 광장,4.2,대중 행사가 자주 열리는 이 대형 광장은 상점과 레스토랑으로 둘러싸여 있습니다.
5,마카오 타워,4.3,"상점, 영화관, 식당가 등이 있는 타워로 회전식 레스토랑과 전망대를 갖추고 있습니다."
6,로우카우 맨션,4.0,-
7,마카오 자이언트 판다 파빌리온,4.4,-
8,베니션 마카오,4.5,-
9,세인트 폴 성당 유적,4.3,화재로 소실된 유명한 17세기 교회의 정면 모습이며 종교 박물관이 있습니다.
10,마카오 과학관,4.3,-
11,몬테 요새,4.3,1626년에 완공된 대형 요새로 대포가 전시되어 있으며 광대한 하늘 전망이 멋진 옥상 공원이 있습니다.
12,마카오반환기념박물관,3.8,-
13,타이파 주택박물관,4.1,-
14,타이파&콜로안 역사박물관,3.9,-
15,성 도미니크 성당,4.3,-
16,아마 사원,4.2,마카오에서 가장 오래된 이 사원은 1488년에 지어졌으며 바다의 여신을 기립니다.
17,마카오 미술관,4.3,-
18,성 아우구스티노 광장,4.3,-
19,그랑프리 박물관,3.6,-
20,까모에스 공원,4.1,-
21,카르발류 총독 대교,4.4,-
22,성 아우구스틴 광장,3.5,-
23,성 로렌스 성당,4.3,-
24,전당포 박물관,4.1,-
25,Guia Lighthouse,4.4,-
26,"Cathedral of the Nativity of Our Lady, Macau",4.4,-
27,펜하성당,4.5,-
28,성안토니오 성당,4.2,-
29,Golden Reel,4.3,-
30,카르멜 성모 성당,4.2,-
31,성 프란시스코 사비에르성당,4.2,-
32,성 요셉 신학교 및 성당,4.2,-
33,拱北口岸,3.5,-
34,Kampek Paradise Casino,3.4,-
35,로터스 브리지,4.5,-
36,Dreams Water City,3.9,-
37,Company Of Jesus Square,-,-
38,베네시안,4.2,-
39,Lotus Square,3.7,-
40,상하이 타워,4.6,"전망대 2곳과 레스토랑, 바, 상점, 호텔이 있는 632m 높이의 초고층 건물입니다."
41,Tianzifang,4.2,"좁은 골목이 늘어선 이 프랑스 옛 조계지는 고풍스러운 상점과 카페, 바로 잘 알려져 있습니다."
42,Shanghai Urban Planning Exhibition Center,4.2,-
43,상하이 세계금융센터,4.6,"세계에서 가장 높은 고층 건물로 손꼽히며, 101층에는 세련된 호텔, 전망대, 상점, 식당이 갖춰져 있습니다."
44,"Shanghai Ancient Town at Zhujiajiao Tourism Development Co., Ltd.",4.3,-
45,鲁迅公园,4.5,-
46,외탄,4.7,"유서 깊은 1,500m 길이의 강변 산책로이며 독특한 현대 및 식민지 시대의 건물을 볼 수 있습니다."
47,Bund Sightseeing Tunnel,3.5,-
48,Waibaidu Bridge,4.4,-
49,Shanghai New International Expo Center,4.3,-
50,예원,4.4,"1577년에 지어진 5에이커 규모의 정원으로 명나라 시대의 건물, 연못, 암석 정원, 아치형 다리가 특징입니다."
51,Shanghai Film Park Tickets,3.9,-
52,Qibao Old Street,4.2,-
53,Shanghai Jewish Refugees Museum,4.5,-
54,동방명주탑,4.5,"도시 전망과 역사박물관, 회전식 레스토랑을 자랑하는 468m 높이의 초현대적인 TV 타워입니다."
55,广富林遗址,4.2,-
56,Shanghai Museum,4.4,"청동과 옥 공예품, 조각과 그림 같은 다양한 전시품을 관람할 수 있는 거대한 무료 박물관입니다."
57,진마오 타워,4.5,"끝이 뾰족한 모양의 88층 높이 초고층 건물에 레스토랑, 사무실, 그랜드 하얏트 호텔, 전망대가 있습니다."
58,People's Park,4.3,-
59,Jing'an Temple,4.3,-
60,Shanghai Botanical Garden,4.3,-
61,Shanghai Tunnel Science & Technology Museum,3.8,-
62,Shanghai Circus World,4.1,-
63,Shanghai Museum of Glass,4.2,-
64,Shanghai Science and Technology Museum,4.2,-
65,Shanghai Wild Animal Park,4.3,-
66,Chen Yi Square,4.5,-
67,Qibao Ancient Town,4.0,-
68,Yuyuan Old Street,4.2,-
69,Nanjing Road Pedestrian Street,4.3,-
70,Shanghai Old Street,4.4,-
71,Shaoxing Park,4.1,-
72,Sipai Tower,3.0,-
73,Aurora Art Museum,4.6,-
74,Shanghai Auto Museum,4.3,-
75,Gucheng Park （Northeast Gate）,4.4,-
76,The Bund Art Museum （Side Gate）,4.1,-
77,Waitan,4.7,-
78,Shanghai Natural History Museum.,4.6,-
79,Shanghai Ancient City Wall,3.9,-
